ShipmentID,OrderID,Carrier,ShipDate,DeliveryDate,DeliveryStatus
38,38,USPS,2025-10-14,2025-10-17,Delivered
39,39,UPS,2025-01-02,2025-01-09,Delayed
40,40,DHL,2025-07-25,2025-07-26,In Transit
41,41,USPS,2025-08-31,2025-09-02,In Transit
42,42,USPS,2025-03-25,2025-03-27,Delayed
43,43,DHL,2025-11-11,2025-11-12,Delivered
44,44,FedEx,2025-12-03,2025-12-04,In Transit
45,45,DHL,2025-10-16,2025-10-23,Delayed
46,46,DHL,2025-08-18,2025-08-21,Delayed
47,47,USPS,2025-07-17,2025-07-21,In Transit
48,48,FedEx,2025-11-13,2025-11-18,Delayed
49,49,FedEx,2025-08-08,2025-08-09,In Transit
50,50,DHL,2025-11-25,2025-11-28,Delivered
51,51,FedEx,2025-03-21,2025-03-25,Delayed
52,52,DHL,2025-05-26,2025-06-02,In Transit
53,53,DHL,2025-06-15,2025-06-17,Delivered
54,54,UPS,2025-08-17,2025-08-20,Delayed
55,55,DHL,2025-02-07,2025-02-12,Delayed
56,56,USPS,2025-05-20,2025-05-27,In Transit
57,57,DHL,2025-05-02,2025-05-05,Delayed
58,58,UPS,2025-06-12,2025-06-17,In Transit
59,59,UPS,2025-11-24,2025-11-29,Delayed
60,60,DHL,2025-04-17,2025-04-20,Delivered
61,61,DHL,2025-04-02,2025-04-05,Delayed
62,62,DHL,2025-09-16,2025-09-21,In Transit
63,63,UPS,2025-02-11,2025-02-12,In Transit
64,64,USPS,2025-07-27,2025-07-31,Delivered
65,65,FedEx,2025-08-13,2025-08-16,In Transit
66,66,DHL,2025-10-04,2025-10-06,Delayed
67,67,DHL,2025-09-19,2025-09-26,Delivered
68,68,USPS,2025-03-30,2025-04-03,Delivered
69,69,FedEx,2025-09-09,2025-09-12,In Transit
70,70,UPS,2025-01-06,2025-01-09,In Transit
71,71,UPS,2025-05-18,2025-05-24,Delivered
72,72,FedEx,2025-05-24,2025-05-28,Delayed
73,73,FedEx,2025-01-07,2025-01-13,In Transit
74,74,USPS,2025-05-15,2025-05-17,In Transit
75,75,USPS,2025-03-10,2025-03-11,In Transit
76,76,FedEx,2025-03-30,2025-04-03,In Transit
77,77,USPS,2025-04-03,2025-04-07,Delayed
78,78,USPS,2025-01-15,2025-01-19,Delivered
79,79,DHL,2025-01-06,2025-01-12,Delivered
80,80,UPS,2025-03-22,2025-03-28,In Transit
81,81,USPS,2025-01-06,2025-01-13,Delayed
82,82,USPS,2025-11-21,2025-11-23,In Transit
83,83,FedEx,2025-01-16,2025-01-22,In Transit
84,84,UPS,2025-03-26,2025-03-27,In Transit
85,85,DHL,2025-10-26,2025-11-02,Delayed
86,86,DHL,2025-11-14,2025-11-15,In Transit
87,87,USPS,2025-01-06,2025-01-08,Delivered
88,88,FedEx,2025-07-31,2025-08-03,Delivered
89,89,UPS,2025-09-13,2025-09-14,In Transit
90,90,DHL,2025-12-14,2025-12-21,In Transit
91,91,UPS,2025-03-11,2025-03-13,Delayed
92,92,DHL,2025-04-20,2025-04-21,Delayed
93,93,UPS,2025-10-13,2025-10-15,Delayed
94,94,UPS,2025-01-25,2025-01-29,Delayed
95,95,UPS,2025-12-12,2025-12-17,Delivered
96,96,FedEx,2025-01-17,2025-01-23,Delivered
97,97,FedEx,2025-03-02,2025-03-09,In Transit
98,98,FedEx,2025-08-17,2025-08-22,Delayed
99,99,UPS,2025-02-20,2025-02-25,Delayed
100,100,USPS,2025-08-06,2025-08-09,Delivered
101,101,DHL,2025-12-15,2025-12-16,Delivered
102,102,USPS,2025-07-11,2025-07-18,Delivered
103,103,USPS,2025-12-18,2025-12-23,Delayed
104,104,FedEx,2025-07-23,2025-07-29,Delivered
105,105,FedEx,2025-12-26,2026-01-02,In Transit
106,106,FedEx,2025-07-14,2025-07-21,In Transit
107,107,UPS,2025-05-21,2025-05-28,Delayed
108,108,UPS,2025-03-22,2025-03-28,Delivered
109,109,USPS,2025-09-24,2025-09-28,Delayed
110,110,FedEx,2025-06-25,2025-06-28,Delayed
111,111,DHL,2025-08-09,2025-08-10,Delivered
112,112,FedEx,2025-03-18,2025-03-24,In Transit
113,113,FedEx,2025-11-11,2025-11-15,In Transit
114,114,FedEx,2025-02-11,2025-02-14,Delayed
115,115,UPS,2025-07-19,2025-07-26,In Transit
116,116,USPS,2025-04-21,2025-04-25,Delivered
117,117,FedEx,2025-07-28,2025-08-02,Delivered
118,118,USPS,2025-03-09,2025-03-12,In Transit
119,119,DHL,2025-06-02,2025-06-05,Delivered
120,120,FedEx,2025-06-17,2025-06-22,Delivered
121,121,USPS,2025-06-04,2025-06-05,In Transit
122,122,FedEx,2025-04-23,2025-04-30,Delayed
123,123,USPS,2025-12-25,2025-12-26,Delivered
124,124,DHL,2025-03-30,2025-03-31,In Transit
125,125,UPS,2025-09-14,2025-09-21,Delivered
126,126,UPS,2025-12-25,2025-12-28,Delayed
127,127,UPS,2025-04-20,2025-04-24,Delivered
128,128,DHL,2025-02-10,2025-02-11,Delivered
129,129,UPS,2025-04-25,2025-04-30,Delayed
130,130,FedEx,2025-02-02,2025-02-06,In Transit
131,131,FedEx,2025-06-14,2025-06-20,Delivered
132,132,DHL,2025-05-08,2025-05-14,Delivered
133,133,USPS,2025-07-16,2025-07-17,Delayed
134,134,DHL,2025-04-30,2025-05-01,Delivered
135,135,FedEx,2025-10-31,2025-11-02,In Transit
136,136,DHL,2025-08-18,2025-08-25,Delivered
137,137,FedEx,2025-09-09,2025-09-12,Delivered
138,138,FedEx,2025-01-16,2025-01-17,In Transit
139,139,USPS,2025-01-24,2025-01-27,Delayed
140,140,DHL,2025-06-07,2025-06-13,Delayed
141,141,UPS,2025-11-30,2025-12-06,In Transit
142,142,UPS,2025-05-15,2025-05-18,In Transit
143,143,UPS,2025-03-10,2025-03-17,In Transit
144,144,UPS,2025-03-23,2025-03-25,In Transit
145,145,USPS,2025-08-09,2025-08-13,Delivered
146,146,FedEx,2025-12-07,2025-12-12,Delayed
147,147,FedEx,2025-11-29,2025-12-01,Delivered
148,148,USPS,2025-05-26,2025-05-28,Delayed
149,149,FedEx,2025-04-28,2025-05-02,Delayed
150,150,UPS,2025-11-07,2025-11-10,Delayed
151,151,UPS,2025-12-04,2025-12-10,Delayed
152,152,FedEx,2025-11-12,2025-11-16,In Transit
153,153,USPS,2025-11-28,2025-12-03,In Transit
154,154,FedEx,2025-10-20,2025-10-22,Delayed
155,155,USPS,2025-06-04,2025-06-08,In Transit
156,156,UPS,2025-01-26,2025-01-30,Delivered
157,157,USPS,2025-09-18,2025-09-21,Delivered
158,158,DHL,2025-03-02,2025-03-03,In Transit
159,159,USPS,2025-02-07,2025-02-13,In Transit
160,160,DHL,2025-10-26,2025-11-02,In Transit
161,161,UPS,2025-12-23,2025-12-29,In Transit
162,162,USPS,2025-02-27,2025-03-06,Delayed
163,163,UPS,2025-01-02,2025-01-08,Delayed
164,164,USPS,2025-09-06,2025-09-08,Delayed
165,165,FedEx,2025-10-17,2025-10-18,In Transit
166,166,UPS,2025-05-17,2025-05-20,In Transit
167,167,USPS,2025-10-18,2025-10-23,In Transit
168,168,UPS,2025-03-31,2025-04-06,In Transit
169,169,UPS,2025-02-24,2025-02-26,Delayed
170,170,DHL,2025-05-14,2025-05-21,Delayed
171,171,FedEx,2025-03-06,2025-03-13,In Transit
172,172,USPS,2025-12-05,2025-12-08,In Transit
173,173,DHL,2025-01-07,2025-01-11,Delivered
174,174,FedEx,2025-06-17,2025-06-23,Delayed
175,175,UPS,2025-11-21,2025-11-28,Delivered
176,176,USPS,2025-08-31,2025-09-01,In Transit
177,177,DHL,2025-09-05,2025-09-10,Delivered
178,178,UPS,2025-03-02,2025-03-09,In Transit
179,179,USPS,2025-12-27,2025-12-29,Delayed
180,180,UPS,2025-07-05,2025-07-10,In Transit
181,181,FedEx,2025-09-17,2025-09-22,Delayed
182,182,USPS,2025-07-22,2025-07-28,Delayed
183,183,FedEx,2025-04-23,2025-04-29,In Transit
184,184,UPS,2025-09-21,2025-09-24,In Transit
185,185,FedEx,2025-08-02,2025-08-08,Delayed
186,186,UPS,2025-10-24,2025-10-28,Delivered
187,187,UPS,2025-12-14,2025-12-16,Delayed
188,188,USPS,2025-01-06,2025-01-07,Delayed
189,189,DHL,2025-06-20,2025-06-24,Delivered
190,190,USPS,2025-03-10,2025-03-14,In Transit
191,191,UPS,2025-01-10,2025-01-16,Delayed
192,192,FedEx,2025-03-19,2025-03-23,Delivered
193,193,UPS,2025-05-22,2025-05-25,Delayed
194,194,FedEx,2025-07-06,2025-07-08,Delivered
195,195,DHL,2025-07-05,2025-07-09,In Transit
196,196,FedEx,2025-01-20,2025-01-25,In Transit
197,197,UPS,2025-06-07,2025-06-08,In Transit
198,198,USPS,2025-02-20,2025-02-27,Delayed
199,199,DHL,2025-08-01,2025-08-08,Delivered
200,200,UPS,2025-12-06,2025-12-13,Delivered
201,201,DHL,2025-08-06,2025-08-08,Delivered
202,202,UPS,2025-07-03,2025-07-06,Delayed
203,203,FedEx,2025-06-03,2025-06-06,Delayed
204,204,DHL,2025-06-14,2025-06-17,Delivered
205,205,UPS,2025-02-16,2025-02-21,In Transit
206,206,USPS,2025-08-30,2025-08-31,In Transit
207,207,UPS,2025-05-19,2025-05-23,In Transit
208,208,UPS,2025-04-27,2025-05-01,Delivered
209,209,USPS,2025-05-28,2025-06-04,Delayed
210,210,DHL,2025-11-08,2025-11-11,In Transit
211,211,DHL,2025-05-06,2025-05-08,Delivered
212,212,UPS,2025-10-22,2025-10-29,Delayed
213,213,FedEx,2025-11-05,2025-11-06,In Transit
214,214,UPS,2025-05-19,2025-05-22,In Transit
215,215,USPS,2025-06-25,2025-06-26,Delivered
216,216,UPS,2025-07-05,2025-07-06,Delayed
217,217,USPS,2025-12-25,2025-12-29,In Transit
218,218,UPS,2025-12-05,2025-12-07,Delivered
219,219,FedEx,2025-05-16,2025-05-20,Delayed
220,220,UPS,2025-12-01,2025-12-08,Delivered
221,221,DHL,2025-02-11,2025-02-17,Delivered
222,222,USPS,2025-08-01,2025-08-03,Delivered
223,223,FedEx,2025-04-05,2025-04-06,Delayed
224,224,DHL,2025-03-08,2025-03-09,In Transit
225,225,FedEx,2025-11-19,2025-11-22,In Transit
226,226,DHL,2025-10-18,2025-10-21,In Transit
227,227,UPS,2025-11-15,2025-11-21,In Transit
228,228,FedEx,2025-10-09,2025-10-16,Delayed
229,229,USPS,2025-08-28,2025-09-03,In Transit
230,230,DHL,2025-02-18,2025-02-22,Delayed
231,231,FedEx,2025-01-11,2025-01-16,In Transit
232,232,USPS,2025-03-12,2025-03-18,Delayed
233,233,USPS,2025-06-05,2025-06-09,Delayed
234,234,DHL,2025-01-15,2025-01-21,In Transit
235,235,UPS,2025-01-06,2025-01-12,In Transit
236,236,FedEx,2025-01-14,2025-01-15,Delayed
237,237,USPS,2025-09-05,2025-09-06,Delivered
238,238,UPS,2025-03-02,2025-03-07,In Transit
239,239,DHL,2025-10-01,2025-10-06,Delayed
240,240,FedEx,2025-10-02,2025-10-03,Delivered
241,241,FedEx,2025-07-06,2025-07-09,Delayed
242,242,USPS,2025-06-24,2025-06-25,Delayed
243,243,UPS,2025-09-22,2025-09-24,Delayed
244,244,UPS,2025-04-10,2025-04-12,Delayed
245,245,UPS,2025-01-11,2025-01-15,Delayed
246,246,UPS,2025-10-29,2025-11-01,Delayed
247,247,UPS,2025-06-06,2025-06-11,In Transit
248,248,FedEx,2025-04-23,2025-04-29,In Transit
249,249,FedEx,2025-08-10,2025-08-12,In Transit
250,250,FedEx,2025-02-14,2025-02-20,Delayed
251,251,UPS,2025-01-30,2025-02-04,In Transit
252,252,DHL,2025-05-25,2025-05-26,Delivered
253,253,UPS,2025-07-15,2025-07-19,Delivered
254,254,USPS,2025-03-01,2025-03-06,In Transit
255,255,USPS,2025-02-21,2025-02-28,Delivered
256,256,FedEx,2025-05-29,2025-06-03,Delayed
257,257,DHL,2025-03-21,2025-03-26,In Transit
258,258,USPS,2025-08-22,2025-08-24,In Transit
259,259,FedEx,2025-01-12,2025-01-19,In Transit
260,260,DHL,2025-02-24,2025-03-03,Delivered
261,261,USPS,2025-07-08,2025-07-10,Delayed
262,262,FedEx,2025-02-24,2025-02-28,Delayed
263,263,DHL,2025-05-16,2025-05-20,Delivered
264,264,USPS,2025-12-25,2025-12-29,Delayed
265,265,USPS,2025-10-08,2025-10-09,Delayed
266,266,DHL,2025-03-03,2025-03-06,Delivered
267,267,DHL,2025-11-13,2025-11-14,In Transit
268,268,USPS,2025-09-28,2025-10-03,Delivered
269,269,UPS,2025-04-26,2025-04-29,Delayed
270,270,UPS,2025-06-20,2025-06-22,Delayed
271,271,DHL,2025-06-05,2025-06-06,Delivered
272,272,USPS,2025-07-08,2025-07-15,Delayed
273,273,DHL,2025-11-07,2025-11-12,Delivered
274,274,DHL,2025-02-02,2025-02-05,Delayed
275,275,FedEx,2025-03-05,2025-03-07,In Transit
276,276,USPS,2025-01-11,2025-01-18,In Transit
277,277,FedEx,2025-11-11,2025-11-13,Delayed
278,278,FedEx,2025-04-06,2025-04-09,In Transit
279,279,FedEx,2025-12-21,2025-12-25,Delayed
280,280,FedEx,2025-02-03,2025-02-10,In Transit
281,281,FedEx,2025-01-27,2025-02-01,Delivered
282,282,DHL,2025-12-15,2025-12-20,Delayed
283,283,USPS,2025-10-31,2025-11-01,Delayed
284,284,UPS,2025-02-16,2025-02-18,Delivered
285,285,FedEx,2025-04-15,2025-04-16,In Transit
286,286,UPS,2025-07-20,2025-07-25,In Transit
287,287,USPS,2025-08-22,2025-08-23,Delivered
288,288,FedEx,2025-05-01,2025-05-02,In Transit
289,289,FedEx,2025-11-05,2025-11-07,Delayed
290,290,UPS,2025-03-10,2025-03-17,Delayed
291,291,UPS,2025-03-18,2025-03-20,In Transit
292,292,UPS,2025-02-19,2025-02-26,Delivered
293,293,DHL,2025-01-20,2025-01-25,Delayed
294,294,DHL,2025-11-22,2025-11-28,Delivered
295,295,UPS,2025-02-11,2025-02-15,Delayed
296,296,UPS,2025-04-08,2025-04-12,Delivered
297,297,FedEx,2025-05-14,2025-05-16,In Transit
298,298,DHL,2025-10-20,2025-10-25,Delayed
299,299,UPS,2025-07-27,2025-08-03,In Transit
300,300,USPS,2025-01-16,2025-01-18,Delayed
301,301,UPS,2025-09-23,2025-09-30,In Transit
302,302,USPS,2025-09-12,2025-09-13,Delivered
303,303,FedEx,2025-04-29,2025-05-02,In Transit
304,304,FedEx,2025-10-01,2025-10-07,Delayed
305,305,DHL,2025-01-04,2025-01-06,In Transit
306,306,UPS,2025-05-11,2025-05-17,In Transit
307,307,FedEx,2025-07-21,2025-07-26,Delivered
308,308,USPS,2025-08-03,2025-08-06,In Transit
309,309,UPS,2025-11-14,2025-11-21,In Transit
310,310,UPS,2025-02-21,2025-02-24,Delayed
311,311,USPS,2025-10-18,2025-10-20,Delivered
312,312,USPS,2025-02-27,2025-03-05,Delayed
313,313,UPS,2025-07-03,2025-07-05,In Transit
314,314,DHL,2025-02-27,2025-03-06,Delivered
315,315,UPS,2025-06-06,2025-06-08,Delivered
316,316,USPS,2025-11-08,2025-11-11,Delayed
317,317,UPS,2025-03-31,2025-04-07,Delayed
318,318,UPS,2025-07-14,2025-07-15,Delayed
319,319,DHL,2025-04-28,2025-05-02,In Transit
320,320,FedEx,2025-12-01,2025-12-03,Delivered
321,321,UPS,2025-12-22,2025-12-26,In Transit
322,322,FedEx,2025-04-09,2025-04-10,Delayed
323,323,DHL,2025-07-17,2025-07-23,In Transit
324,324,FedEx,2025-06-02,2025-06-09,Delivered
325,325,DHL,2025-09-12,2025-09-15,Delivered
326,326,DHL,2025-12-26,2025-12-28,Delivered
327,327,DHL,2025-03-01,2025-03-04,Delayed
328,328,DHL,2025-02-26,2025-02-27,In Transit
329,329,FedEx,2025-06-09,2025-06-16,Delayed
330,330,USPS,2025-09-19,2025-09-21,Delayed
331,331,FedEx,2025-06-30,2025-07-02,Delivered
332,332,FedEx,2025-05-13,2025-05-14,Delayed
333,333,DHL,2025-10-26,2025-10-30,Delivered
334,334,UPS,2025-06-02,2025-06-06,Delivered
335,335,FedEx,2025-10-14,2025-10-21,Delayed
336,336,USPS,2025-11-25,2025-11-27,Delivered
337,337,UPS,2025-06-23,2025-06-27,In Transit
338,338,USPS,2025-05-23,2025-05-26,Delivered
339,339,DHL,2025-09-23,2025-09-28,Delayed
340,340,FedEx,2025-11-23,2025-11-24,In Transit
341,341,UPS,2025-10-08,2025-10-13,Delayed
342,342,DHL,2025-01-24,2025-01-29,Delayed
343,343,USPS,2025-07-18,2025-07-24,Delivered
344,344,UPS,2025-04-25,2025-04-30,Delivered
345,345,FedEx,2025-12-30,2026-01-02,In Transit
346,346,USPS,2025-06-14,2025-06-18,In Transit
347,347,DHL,2025-09-24,2025-09-25,Delivered
348,348,FedEx,2025-11-23,2025-11-28,Delayed
349,349,FedEx,2025-01-27,2025-01-31,Delivered
350,350,FedEx,2025-03-12,2025-03-19,Delivered
351,351,DHL,2025-09-22,2025-09-23,In Transit
352,352,USPS,2025-04-27,2025-04-28,Delivered
353,353,FedEx,2025-05-08,2025-05-10,In Transit
354,354,UPS,2025-07-30,2025-07-31,Delivered
355,355,USPS,2025-11-22,2025-11-26,Delayed
356,356,USPS,2025-06-19,2025-06-22,Delivered
357,357,FedEx,2025-07-08,2025-07-10,In Transit
358,358,USPS,2025-05-14,2025-05-20,Delivered
359,359,FedEx,2025-08-07,2025-08-10,Delivered
360,360,UPS,2025-07-01,2025-07-06,Delayed
361,361,UPS,2025-07-11,2025-07-15,Delayed
362,362,DHL,2025-09-08,2025-09-14,Delivered
363,363,UPS,2025-01-26,2025-01-27,Delayed
364,364,USPS,2025-02-21,2025-02-22,Delivered
365,365,USPS,2025-03-14,2025-03-18,Delivered
366,366,FedEx,2025-11-26,2025-11-28,Delayed
367,367,FedEx,2025-07-15,2025-07-19,Delivered
368,368,FedEx,2025-08-07,2025-08-08,In Transit
369,369,DHL,2025-01-28,2025-01-31,Delivered
370,370,DHL,2025-08-14,2025-08-19,Delayed
371,371,FedEx,2025-12-17,2025-12-18,In Transit
372,372,FedEx,2025-09-30,2025-10-03,In Transit
373,373,DHL,2025-01-12,2025-01-19,Delayed
374,374,DHL,2025-06-06,2025-06-09,In Transit
375,375,FedEx,2025-01-15,2025-01-18,Delayed
376,376,DHL,2025-03-10,2025-03-11,In Transit
377,377,FedEx,2025-07-10,2025-07-13,Delivered
378,378,USPS,2025-05-01,2025-05-06,In Transit
379,379,USPS,2025-11-23,2025-11-28,Delivered
380,380,DHL,2025-03-07,2025-03-13,Delivered
381,381,USPS,2025-04-29,2025-05-05,Delayed
382,382,USPS,2025-10-28,2025-10-31,Delayed
383,383,DHL,2025-01-07,2025-01-10,In Transit
384,384,FedEx,2025-03-29,2025-04-04,Delayed
385,385,FedEx,2025-10-22,2025-10-25,Delayed
386,386,DHL,2025-01-10,2025-01-14,In Transit
387,387,FedEx,2025-05-13,2025-05-16,In Transit
388,388,UPS,2025-12-31,2026-01-04,In Transit
389,389,DHL,2025-05-25,2025-05-27,Delivered
390,390,DHL,2025-06-24,2025-06-28,Delayed
391,391,USPS,2025-07-13,2025-07-16,Delayed
392,392,UPS,2025-12-15,2025-12-20,Delivered
393,393,DHL,2025-10-14,2025-10-20,Delivered
394,394,DHL,2025-04-13,2025-04-16,Delivered
395,395,USPS,2025-06-27,2025-06-28,Delivered
396,396,USPS,2025-12-02,2025-12-04,Delayed
397,397,UPS,2025-04-27,2025-05-01,Delivered
398,398,USPS,2025-07-15,2025-07-19,Delayed
399,399,UPS,2025-07-25,2025-07-28,In Transit
400,400,USPS,2025-08-27,2025-08-28,Delivered
401,401,DHL,2025-10-08,2025-10-09,In Transit
402,402,FedEx,2025-01-06,2025-01-12,In Transit
403,403,FedEx,2025-10-13,2025-10-18,Delivered
404,404,FedEx,2025-02-08,2025-02-10,Delayed
405,405,USPS,2025-08-12,2025-08-18,Delayed
406,406,UPS,2025-02-26,2025-02-27,Delivered
407,407,USPS,2025-09-03,2025-09-08,Delayed
408,408,FedEx,2025-11-16,2025-11-19,Delivered
409,409,USPS,2025-05-06,2025-05-07,Delivered
410,410,FedEx,2025-08-16,2025-08-23,Delivered
411,411,FedEx,2025-07-16,2025-07-21,Delayed
412,412,FedEx,2025-02-14,2025-02-21,Delayed
413,413,FedEx,2025-01-17,2025-01-22,Delivered
414,414,DHL,2025-04-19,2025-04-20,Delivered
415,415,USPS,2025-09-11,2025-09-13,Delayed
416,416,FedEx,2025-07-15,2025-07-18,In Transit
417,417,DHL,2025-07-19,2025-07-21,Delayed
418,418,DHL,2025-08-05,2025-08-11,In Transit
419,419,USPS,2025-08-09,2025-08-16,Delayed
420,420,FedEx,2025-07-23,2025-07-30,Delayed
421,421,USPS,2025-01-16,2025-01-19,In Transit
422,422,USPS,2025-02-26,2025-03-04,Delayed
423,423,FedEx,2025-04-02,2025-04-03,Delivered
424,424,FedEx,2025-03-08,2025-03-11,Delivered
425,425,USPS,2025-09-04,2025-09-05,Delivered
426,426,USPS,2025-08-04,2025-08-10,Delivered
427,427,UPS,2025-11-18,2025-11-20,Delayed
428,428,USPS,2025-12-18,2025-12-19,In Transit
429,429,DHL,2025-03-16,2025-03-19,Delivered
430,430,DHL,2025-11-24,2025-11-29,In Transit
431,431,FedEx,2025-04-26,2025-04-27,Delivered
432,432,DHL,2025-07-23,2025-07-29,Delivered
433,433,UPS,2025-12-01,2025-12-07,Delayed
434,434,USPS,2025-09-19,2025-09-26,Delayed
435,435,FedEx,2025-08-06,2025-08-11,Delayed
436,436,UPS,2025-12-07,2025-12-13,In Transit
437,437,UPS,2025-12-07,2025-12-14,Delivered
438,438,USPS,2025-12-17,2025-12-18,Delivered
439,439,FedEx,2025-02-19,2025-02-22,In Transit
440,440,DHL,2025-12-04,2025-12-06,Delayed
441,441,FedEx,2025-03-22,2025-03-28,In Transit
442,442,FedEx,2025-11-02,2025-11-07,In Transit
443,443,DHL,2025-05-03,2025-05-04,In Transit
444,444,UPS,2025-05-16,2025-05-23,Delayed
445,445,UPS,2025-03-13,2025-03-17,Delivered
446,446,FedEx,2025-05-04,2025-05-10,Delayed
447,447,DHL,2025-05-18,2025-05-20,Delayed
448,448,UPS,2025-05-29,2025-06-05,In Transit
449,449,FedEx,2025-12-08,2025-12-14,Delayed
450,450,USPS,2025-01-11,2025-01-17,Delayed
451,451,UPS,2025-10-14,2025-10-21,Delivered
452,452,FedEx,2025-06-01,2025-06-02,Delayed
453,453,USPS,2025-07-24,2025-07-27,In Transit
454,454,DHL,2025-04-19,2025-04-26,Delivered
455,455,USPS,2025-03-04,2025-03-08,In Transit
456,456,UPS,2025-03-08,2025-03-10,Delayed
457,457,UPS,2025-08-02,2025-08-09,In Transit
458,458,UPS,2025-07-01,2025-07-08,In Transit
459,459,UPS,2025-07-31,2025-08-04,Delivered
460,460,UPS,2025-01-13,2025-01-14,In Transit
461,461,DHL,2025-05-18,2025-05-21,In Transit
462,462,UPS,2025-03-08,2025-03-12,In Transit
463,463,FedEx,2025-06-17,2025-06-23,Delayed
464,464,UPS,2025-09-28,2025-10-01,In Transit
465,465,FedEx,2025-08-31,2025-09-03,In Transit
466,466,FedEx,2025-09-02,2025-09-06,In Transit
467,467,UPS,2025-07-30,2025-08-02,In Transit
468,468,FedEx,2025-04-12,2025-04-18,Delayed
469,469,FedEx,2025-10-31,2025-11-01,Delayed
470,470,DHL,2025-09-04,2025-09-11,In Transit
471,471,FedEx,2025-01-09,2025-01-16,Delayed
472,472,FedEx,2025-03-15,2025-03-16,In Transit
473,473,UPS,2025-04-01,2025-04-04,Delivered
474,474,DHL,2025-04-21,2025-04-23,Delivered
475,475,USPS,2025-03-25,2025-03-29,In Transit
476,476,FedEx,2025-07-19,2025-07-25,In Transit
477,477,DHL,2025-04-23,2025-04-27,In Transit
478,478,USPS,2025-09-27,2025-09-28,Delayed
479,479,USPS,2025-12-02,2025-12-04,In Transit
480,480,FedEx,2025-04-09,2025-04-10,In Transit
481,481,USPS,2025-12-05,2025-12-08,Delivered
482,482,FedEx,2025-06-27,2025-07-03,Delivered
483,483,DHL,2025-06-25,2025-06-30,Delayed
484,484,UPS,2025-02-17,2025-02-19,Delivered
485,485,UPS,2025-05-04,2025-05-05,Delayed
486,486,DHL,2025-07-20,2025-07-21,Delayed
487,487,FedEx,2025-01-05,2025-01-07,Delivered
488,488,FedEx,2025-04-10,2025-04-17,Delayed
489,489,UPS,2025-09-12,2025-09-18,Delayed
490,490,DHL,2025-11-16,2025-11-17,In Transit
491,491,UPS,2025-04-20,2025-04-22,In Transit
492,492,USPS,2025-12-19,2025-12-21,In Transit
493,493,DHL,2025-02-14,2025-02-16,Delayed
494,494,FedEx,2025-08-30,2025-09-04,Delivered
495,495,UPS,2025-03-20,2025-03-23,Delivered
496,496,UPS,2025-07-16,2025-07-22,Delivered
497,497,DHL,2025-10-21,2025-10-22,Delivered
498,498,USPS,2025-12-05,2025-12-06,Delayed
499,499,DHL,2025-06-24,2025-06-29,Delayed
500,500,FedEx,2025-02-24,2025-02-26,Delivered
501,501,FedEx,2025-10-09,2025-10-14,Delivered
502,502,USPS,2025-09-28,2025-10-01,Delayed
503,503,FedEx,2025-01-17,2025-01-20,Delivered
504,504,UPS,2025-06-02,2025-06-03,Delivered
505,505,UPS,2025-12-06,2025-12-13,Delayed
506,506,FedEx,2025-10-13,2025-10-17,Delayed
507,507,UPS,2025-04-09,2025-04-16,Delayed
508,508,FedEx,2025-05-22,2025-05-28,Delayed
509,509,DHL,2025-05-25,2025-05-29,Delayed
510,510,DHL,2025-10-27,2025-10-30,In Transit
