ReturnID,OrderID,ProductID,Reason,RefundAmount
160,786,28,No Longer Needed,516.1
161,786,37,Wrong Item,656.62
162,796,439,No Longer Needed,547.53
163,796,458,Wrong Item,826.18
164,811,470,Damaged,837.17
165,811,116,Damaged,2132.55
166,816,130,Damaged,1090.57
167,819,159,Wrong Item,943.88
168,819,256,Damaged,1454.08
169,819,23,Damaged,676.49
170,833,477,Wrong Item,2576.86
171,842,320,Wrong Item,943.69
172,843,149,Wrong Item,2168.94
173,843,30,Wrong Item,299.37
174,848,296,No Longer Needed,114.46
175,865,168,Damaged,356.17
176,869,260,Damaged,1174.13
177,869,401,Damaged,2002.71
178,875,222,Damaged,5443.16
179,901,319,No Longer Needed,982.66
180,904,185,Wrong Item,983.62
181,913,208,No Longer Needed,973.93
182,918,170,Wrong Item,1777.01
183,926,458,Wrong Item,1846.76
184,938,332,Wrong Item,5240.76
185,938,96,Damaged,1179.34
186,945,212,No Longer Needed,2896.53
187,972,362,Wrong Item,1111.93
188,972,479,No Longer Needed,3661.17
189,981,186,Wrong Item,1722.15
190,1002,182,Wrong Item,3313.4
191,1002,201,No Longer Needed,975.87
192,1002,492,Damaged,1603.77
193,1002,337,Damaged,3385.44
194,1005,237,Wrong Item,2730.22
195,1012,271,Damaged,223.06
196,1013,327,Damaged,2845.98
197,1013,440,Wrong Item,620.13
198,1014,365,No Longer Needed,2762.23
199,1014,312,Damaged,1073.17
200,1016,288,No Longer Needed,3271.72
201,1016,110,Damaged,2717.24
202,1016,177,Damaged,4801.64
203,1023,248,Wrong Item,825.92
204,1028,343,Wrong Item,2336.17
205,1028,345,No Longer Needed,1275.47
206,1053,181,Wrong Item,359.63
207,1061,365,Wrong Item,3682.98
208,1061,36,Damaged,1147.48
209,1102,157,Wrong Item,124.82
210,1111,59,Damaged,991.4
211,1115,137,Wrong Item,1096.19
212,1118,337,Damaged,2507.74
213,1118,195,Damaged,431.94
214,1138,468,No Longer Needed,736.77
215,1144,386,No Longer Needed,585.12
216,1144,469,Wrong Item,899.62
217,1178,49,Damaged,344.22
218,1186,461,Wrong Item,952.85
219,1186,124,No Longer Needed,1428.38
220,1214,380,Damaged,1385.09
221,1214,301,Wrong Item,1118.86
222,1214,330,No Longer Needed,812.58
223,1214,253,Wrong Item,4229.24
224,1215,357,Damaged,1769.87
225,1221,67,Damaged,2566.05
226,1223,284,Damaged,3425.78
227,1223,385,Wrong Item,3968.97
228,1241,411,Wrong Item,4527.54
229,1246,182,Damaged,3313.4
230,1251,469,No Longer Needed,1508.19
231,1251,305,Wrong Item,1134.64
232,1255,163,Damaged,1871.4
233,1255,269,Damaged,1545.46
234,1260,9,Damaged,2906.25
235,1260,233,Damaged,260.47
236,1262,104,Damaged,4136.8
237,1262,76,Wrong Item,1388.87
238,1263,84,Damaged,605.85
239,1263,296,No Longer Needed,206.02
240,1263,88,Damaged,941.84
241,1281,467,Damaged,2280.28
242,1284,407,Wrong Item,347.74
243,1284,333,No Longer Needed,2408.59
244,1299,101,No Longer Needed,1431.26
245,1303,262,No Longer Needed,517.72
246,1320,40,Damaged,985.59
247,1322,232,Wrong Item,3246.45
248,1323,48,Wrong Item,1178.86
249,1323,361,Damaged,1465.1
250,1325,230,Wrong Item,2554.38
251,1325,425,Damaged,3003.66
252,1350,289,Wrong Item,3065.17
253,1361,240,Damaged,3852.33
254,1361,186,No Longer Needed,2026.06
255,1361,41,No Longer Needed,1069.18
256,1364,211,Damaged,476.27
257,1378,126,Damaged,1365.06
258,1378,109,Wrong Item,2148.1
259,1386,472,Damaged,404.23
260,1386,468,No Longer Needed,1473.53
261,1386,191,Damaged,1242.95
262,1387,374,Wrong Item,2216.14
263,1387,134,Wrong Item,597.11
264,1390,83,Wrong Item,564.29
265,1390,427,Damaged,388.84
266,1396,14,Wrong Item,1167.58
267,1419,450,Damaged,2174.01
268,1436,453,Damaged,342.13
269,1436,186,No Longer Needed,2887.13
270,1441,337,No Longer Needed,1065.79
271,1441,490,No Longer Needed,1883.71
272,1441,467,Damaged,1788.46
273,1452,81,No Longer Needed,4083.23
274,1452,388,Damaged,3641.24
275,1452,212,No Longer Needed,2462.04
276,1454,68,Wrong Item,997.88
277,1458,70,Damaged,1470.93
278,1459,272,Damaged,782.11
279,1482,408,Damaged,1308.12
280,1487,174,Damaged,2529.98
281,1487,362,No Longer Needed,555.96
282,1490,248,No Longer Needed,1738.78
283,1508,366,Wrong Item,4006.55
284,1514,453,Wrong Item,361.14
285,1524,420,Wrong Item,670.99
286,1541,196,Damaged,676.49
287,1548,286,Damaged,1007.93
288,1548,476,No Longer Needed,2691.54
289,1548,465,Damaged,5564.12
290,1549,332,No Longer Needed,2758.3
291,1552,157,Wrong Item,93.6
292,1557,484,No Longer Needed,2422.18
293,1557,320,No Longer Needed,999.21
294,1559,217,No Longer Needed,4108.94
295,1559,396,No Longer Needed,3024.82
296,1560,165,Damaged,3256.49
297,1560,438,No Longer Needed,5765.86
298,1563,179,Damaged,489.87
299,1566,43,Damaged,435.01
300,1579,182,Wrong Item,1408.19
301,1584,427,No Longer Needed,1637.24
302,1593,256,Wrong Item,855.34
303,1593,359,Damaged,455.51
304,1593,373,Damaged,5171
305,1603,250,Wrong Item,306.17
306,1608,471,No Longer Needed,2690.14
307,1610,123,No Longer Needed,1116.24
308,1612,304,No Longer Needed,388.77
309,1634,466,Damaged,2926.55
310,1641,397,No Longer Needed,583.84
311,1641,291,Damaged,4296.84
312,1644,124,Wrong Item,1260.33
313,1644,141,No Longer Needed,3803.73
314,1644,272,Damaged,828.12
315,1644,430,Wrong Item,911.5
316,1657,206,Wrong Item,3720.78
317,1657,323,No Longer Needed,2332.76
318,1668,415,Damaged,5019.37
319,1668,454,No Longer Needed,1457.97
320,1675,389,Damaged,2824.61
321,1684,119,Wrong Item,1001.37
322,1686,443,No Longer Needed,3458.99
323,1694,348,Damaged,1077.71
324,1694,315,No Longer Needed,829.11
325,1705,391,No Longer Needed,5679.89
326,1717,115,Damaged,563.26
327,1719,264,No Longer Needed,2965.12
328,1731,318,No Longer Needed,1105.24
329,1731,167,No Longer Needed,657.28
330,1746,111,No Longer Needed,1222.52
331,1749,107,Wrong Item,415.79
332,1749,426,Damaged,2877.09
333,1749,161,Wrong Item,1496.87
334,1769,390,No Longer Needed,124.82
335,1769,435,No Longer Needed,661.74
336,1769,147,Wrong Item,70.76
337,1772,471,No Longer Needed,1699.03
338,1777,456,No Longer Needed,5749.88
339,1784,165,Wrong Item,3884.94
340,1786,424,Damaged,800.92
341,1792,9,No Longer Needed,3681.24
342,1792,445,No Longer Needed,61.2
343,1799,199,Wrong Item,905.95
344,1800,76,Damaged,4999.93
345,1800,281,No Longer Needed,2479.66
346,1807,150,No Longer Needed,362.87
347,1807,170,No Longer Needed,935.27
348,1813,374,No Longer Needed,1883.71
349,1814,291,No Longer Needed,1922.27
350,1827,240,No Longer Needed,2439.81
351,1827,207,Damaged,3459.64
352,1835,84,No Longer Needed,686.63
353,1835,46,Wrong Item,3662.45
354,1841,98,No Longer Needed,1226.06
355,1841,432,Damaged,1236.35
356,1841,93,No Longer Needed,1535.89
357,1851,346,Wrong Item,439.55
358,1856,386,Wrong Item,975.21
359,1856,44,No Longer Needed,1267.9
360,1871,107,Damaged,1580
361,1872,302,Wrong Item,5702.36
362,1872,163,No Longer Needed,1674.41
363,1883,327,Wrong Item,3794.65
364,1883,57,Damaged,997.9
365,1904,326,Damaged,3801.56
366,1905,237,Damaged,5187.41
367,1909,40,Wrong Item,2080.68
368,1914,143,Wrong Item,1615.43
369,1914,365,Wrong Item,1083.23
370,1918,358,Damaged,92.33
371,1919,424,No Longer Needed,3025.7
372,1919,53,Wrong Item,828.35
373,1920,377,No Longer Needed,830.02
374,1925,130,No Longer Needed,3271.72
375,1925,282,Damaged,1756.47
376,1926,428,Wrong Item,347.74
377,1934,389,Wrong Item,5335.38
378,1939,478,Wrong Item,288.67
379,1939,136,No Longer Needed,592.89
380,1951,358,No Longer Needed,102.59
381,1957,263,Damaged,1446.75
382,1957,426,No Longer Needed,3836.12
383,1986,77,No Longer Needed,416.76
384,1993,160,Wrong Item,3712.04
385,1993,64,No Longer Needed,1595.02
386,1993,40,Wrong Item,492.79
387,2004,46,Wrong Item,915.61
388,2004,211,Wrong Item,1905.08
389,2013,39,Damaged,2752.68
390,2033,465,Damaged,1321.48
391,2036,75,Wrong Item,2856.35
392,2036,365,No Longer Needed,3682.98
393,2045,121,No Longer Needed,327.28
394,2057,434,No Longer Needed,4287.62
395,2059,384,No Longer Needed,873.82
396,2071,409,Damaged,3009.27
397,2076,115,Damaged,2134.47
398,2076,281,No Longer Needed,2107.71
399,2076,186,Damaged,3444.3
400,2079,25,Damaged,225.7
401,2079,475,Wrong Item,3685.79
402,2079,158,Wrong Item,5918.36
403,2090,433,Damaged,901.79
404,2094,369,Damaged,3854.92
405,2100,286,Damaged,1502.02
406,2100,461,Damaged,1270.48
407,2104,324,No Longer Needed,146.87
408,2104,372,No Longer Needed,335.06
409,2104,343,Wrong Item,819.71
410,2126,162,No Longer Needed,533.5
411,2126,388,No Longer Needed,4854.99
412,2141,126,Wrong Item,4817.85
413,2143,19,No Longer Needed,5138.16
414,2146,475,Damaged,5460.44
415,2156,403,No Longer Needed,3123.1
416,2157,198,No Longer Needed,2985.3
417,2169,373,Wrong Item,5745.56
418,2170,400,No Longer Needed,2820.94
419,2170,8,Damaged,1077.71
420,2171,355,Damaged,188.74
421,2171,151,Damaged,2105.32
422,2171,497,Wrong Item,1473.1
423,2171,314,Damaged,345.58
424,2172,174,Wrong Item,2120.71
425,2172,22,Damaged,1126.38
426,2172,25,Damaged,100.97
427,2175,117,Damaged,2948.69
428,2181,353,Wrong Item,303.24
429,2185,10,Damaged,566.34
430,2185,94,Wrong Item,3576.92
431,2186,247,Damaged,4069.41
432,2188,433,Damaged,3246.44
433,2198,370,No Longer Needed,1233.24
434,2198,480,No Longer Needed,855.67
435,2204,377,No Longer Needed,830.02
436,2204,305,Wrong Item,2536.25
437,2221,430,No Longer Needed,911.5
438,2221,437,No Longer Needed,264.7
439,2264,430,Wrong Item,1731.84
440,2269,437,Damaged,1058.79
441,2277,342,Damaged,3936.35
442,2277,466,No Longer Needed,3098.69
443,2278,153,Damaged,3308.65
444,2283,75,No Longer Needed,3407.58
445,2290,359,No Longer Needed,271.71
446,2318,454,Wrong Item,971.98
447,2318,83,No Longer Needed,1781.97
448,2323,311,Wrong Item,3324.21
449,2323,41,Damaged,1009.78
450,2323,190,Damaged,1083.23
451,2323,163,No Longer Needed,2954.85
452,2323,208,No Longer Needed,2164.3
453,2326,242,Wrong Item,6484.28
454,2327,9,Damaged,920.31
455,2328,249,Wrong Item,500.03
456,2329,295,Damaged,4032.15
457,2349,375,Wrong Item,1053.63
458,2352,243,Damaged,5785.3
459,2352,380,Wrong Item,2624.38
460,2353,169,No Longer Needed,2204.46
461,2356,287,Damaged,1187.98
462,2361,314,Damaged,164.15
463,2372,111,No Longer Needed,871.04
464,2372,376,No Longer Needed,474.29
465,2373,359,Wrong Item,303.67
466,2377,307,No Longer Needed,4997.56
467,2377,406,No Longer Needed,4377.85
468,2378,96,Wrong Item,1592.1
469,2388,232,No Longer Needed,3895.73
470,2389,454,Wrong Item,1538.97
471,2438,145,Damaged,2382.18
472,2441,214,Damaged,915.82
473,2460,457,Wrong Item,954.17
474,2460,38,No Longer Needed,708.67
475,2475,367,Wrong Item,453.59
476,2477,400,No Longer Needed,3596.69
477,2479,264,Wrong Item,2809.06
478,2479,356,Damaged,639.55
479,2480,493,Damaged,976.3
480,2480,472,Wrong Item,1702.04
481,2486,96,Damaged,1503.65
482,2487,155,No Longer Needed,1957.58
483,2487,413,No Longer Needed,1453.83
484,2487,400,No Longer Needed,1410.47
485,2488,177,Wrong Item,5068.4
486,2488,76,No Longer Needed,1388.87
487,2510,231,Damaged,223.97
488,2510,258,Damaged,1140.87
489,2525,69,Damaged,2049.93
490,2525,63,Damaged,3519.58
491,2525,248,Wrong Item,3303.68
492,2525,306,Damaged,3459.63
493,2549,36,Wrong Item,2699.96
494,2549,127,Damaged,2334.72
495,2564,251,Wrong Item,262.42
496,2566,465,Damaged,2503.85
497,2569,382,No Longer Needed,326.78
498,2576,363,Damaged,1971.84
499,2600,23,Damaged,676.49
500,2600,26,No Longer Needed,834.11
501,2602,26,No Longer Needed,292.67
502,2602,147,Wrong Item,42.21
503,2602,128,Damaged,1013.68
504,2616,112,Damaged,1269.41
505,2618,425,Wrong Item,2385.26
506,2628,53,Damaged,3313.4
507,2633,170,Wrong Item,794.98
508,2634,204,Damaged,1391.25
509,2640,198,No Longer Needed,3980.42
510,2641,147,No Longer Needed,99.32
511,2641,71,Damaged,2833.9
512,2642,83,No Longer Needed,534.59
513,2646,499,Wrong Item,3321.13
514,2647,16,Damaged,2493.15
515,2649,462,Wrong Item,66.94
516,2649,39,No Longer Needed,4129.02
517,2649,279,No Longer Needed,1672.36
518,2651,470,Damaged,594.83
519,2658,487,No Longer Needed,1354.29
520,2658,193,Damaged,946.72
521,2658,483,No Longer Needed,872.85
522,2661,214,Damaged,870.03
523,2662,204,Damaged,1464.47
524,2662,72,Wrong Item,849.51
525,2667,120,No Longer Needed,2812.3
526,2667,131,Wrong Item,381.66
527,2687,297,No Longer Needed,4461
528,2700,370,Damaged,2336.67
529,2707,440,Damaged,654.58
530,2715,41,Damaged,1692.87
531,2715,75,Damaged,1804.01
532,2721,402,No Longer Needed,2971.25
533,2735,278,Damaged,1389.94
534,2742,302,Damaged,2566.06
535,2742,53,Damaged,704.1
536,2742,287,No Longer Needed,564.29
537,2742,329,Wrong Item,502.19
538,2747,312,Wrong Item,1073.17
539,2754,167,Wrong Item,3093.08
540,2757,241,Damaged,1465.75
541,2759,65,Damaged,212.84
542,2759,500,No Longer Needed,1715.45
543,2759,179,No Longer Needed,489.87
544,2759,417,Wrong Item,2618.54
545,2759,322,No Longer Needed,851.44
546,2761,485,Damaged,946.07
547,2761,498,Wrong Item,1079.33
548,2766,108,Damaged,2175.64
549,2766,244,Damaged,185.72
550,2766,327,No Longer Needed,2687.87
551,2769,417,Damaged,3297.42
552,2794,498,No Longer Needed,1022.52
553,2794,199,No Longer Needed,1907.26
554,2802,215,Damaged,667.75
555,2808,124,Wrong Item,1512.39
556,2814,461,Damaged,336.3
557,2814,275,Wrong Item,677.14
558,2815,141,Wrong Item,1267.91
559,2831,66,Damaged,1196.6
560,2839,72,Wrong Item,471.95
561,2839,316,Damaged,2369.71
562,2851,432,Damaged,1373.73
563,2851,207,No Longer Needed,4370.07
564,2865,445,Wrong Item,38.53
565,2866,458,No Longer Needed,461.69
566,2873,239,No Longer Needed,434.13
567,2873,285,Wrong Item,2732.26
568,2875,224,No Longer Needed,1350.08
569,2879,446,No Longer Needed,156.05
570,2880,106,No Longer Needed,492.45
571,2882,365,Damaged,3899.62
572,2882,378,Damaged,5650.52
573,2883,453,No Longer Needed,969.38
574,2883,229,Wrong Item,1255.8
575,2883,308,Wrong Item,1226.87
576,2883,384,No Longer Needed,2767.09
577,2894,151,Damaged,738.71
578,2900,350,No Longer Needed,1106.18
579,2900,455,Damaged,6333.08
580,2900,300,Wrong Item,2035.56
581,2900,213,Wrong Item,1514.14
582,2903,242,Damaged,6484.28
583,2912,349,No Longer Needed,129.56
584,2912,166,Wrong Item,682.96
585,2914,142,Damaged,597.77
586,2914,436,Damaged,2341.4
587,2914,164,No Longer Needed,440.61
588,2918,363,No Longer Needed,3131.75
589,2919,251,Wrong Item,138.5
590,2924,198,No Longer Needed,1053.64
591,2937,138,No Longer Needed,1343.51
592,2937,164,Wrong Item,440.61
593,2950,83,No Longer Needed,1781.97
594,2950,453,Wrong Item,361.14
595,2957,229,No Longer Needed,2247.23
596,2973,169,Damaged,816.47
597,2973,80,No Longer Needed,1490.81
598,2973,331,Damaged,4358.4
599,2973,135,No Longer Needed,958.27
600,2985,66,Damaged,508.55
601,2985,342,Damaged,3299.58
602,2988,222,Wrong Item,3878.25
603,2988,91,Wrong Item,1935.12
604,2994,29,No Longer Needed,2107.7
605,3007,254,Wrong Item,2015.25
606,3007,33,Damaged,4305.05
607,3013,175,Wrong Item,2164.29
608,3015,490,No Longer Needed,2093.02
609,3017,381,Wrong Item,3143.42
610,3022,203,No Longer Needed,3217.29
611,3022,210,No Longer Needed,2980.77
612,3022,152,Damaged,49.24
613,3026,150,Wrong Item,979.74
614,3042,451,No Longer Needed,1112.39
615,3042,226,Wrong Item,903.93
616,3060,271,Wrong Item,223.06
617,3060,12,Wrong Item,392.68
618,3064,256,Wrong Item,1539.61
619,3065,92,Damaged,2302.54
620,3066,338,Wrong Item,2770.16
621,3068,361,Damaged,1723.65
622,3068,202,Damaged,662.79
623,3068,72,Wrong Item,1887.8
624,3070,499,Wrong Item,3495.93
625,3074,201,Damaged,1843.31
626,3074,458,Damaged,826.18
627,3077,426,No Longer Needed,959.03
628,3077,359,Damaged,407.56
629,3079,186,No Longer Needed,1924.75
630,3082,277,Wrong Item,1644.58
631,3084,437,Damaged,264.7
632,3084,72,No Longer Needed,424.75
633,3084,47,Damaged,1535.89
634,3087,224,Damaged,1350.08
635,3104,50,No Longer Needed,2506.12
636,3116,118,No Longer Needed,462.22
637,3116,498,No Longer Needed,1022.52
638,3118,238,No Longer Needed,1213.88
639,3118,431,Damaged,344.22
640,3118,214,No Longer Needed,870.03
641,3126,391,No Longer Needed,4259.92
642,3128,24,Wrong Item,1144.98
643,3138,175,Damaged,721.43
644,3138,166,No Longer Needed,803.49
645,3140,20,Damaged,2734.52
646,3141,17,No Longer Needed,2125.83
647,3141,323,No Longer Needed,1101.58
648,3141,321,Wrong Item,2203.17
649,3146,131,Damaged,401.75
650,3146,447,No Longer Needed,1077.94
651,3149,172,No Longer Needed,4436.38
652,3149,360,Damaged,396.57
653,3154,332,Damaged,2344.55
654,3156,132,No Longer Needed,2991.77
655,3159,318,No Longer Needed,650.14
656,3159,57,No Longer Needed,848.21
657,3164,143,Damaged,1017.12
658,3164,293,No Longer Needed,3191.85
659,3172,380,Wrong Item,4373.97
660,3176,31,No Longer Needed,2111.14
661,3177,8,Damaged,2409
662,3177,91,Wrong Item,1138.31
663,3185,41,Damaged,564.29
664,3185,111,No Longer Needed,1161.39
665,3192,437,Damaged,1114.52
666,3192,463,Wrong Item,2488.3
667,3209,300,Wrong Item,2035.56
668,3212,471,Wrong Item,3775.64
669,3212,98,Damaged,4388.01
670,3224,67,Wrong Item,3801.56
671,3224,177,Wrong Item,5068.4
672,3224,327,Wrong Item,1897.32
673,3224,151,Wrong Item,2954.84
674,3225,399,Damaged,184.66
675,3225,142,No Longer Needed,1693.68
676,3225,430,No Longer Needed,1367.25
677,3252,335,Wrong Item,819.71
678,3254,2,Wrong Item,211.33
679,3264,143,No Longer Needed,2393.24
680,3270,386,No Longer Needed,585.12
681,3278,65,No Longer Needed,236.49
682,3278,115,No Longer Needed,2015.9
683,3278,278,Wrong Item,1312.72
684,3290,272,No Longer Needed,1656.25
685,3320,301,Damaged,475.51
686,3320,308,Wrong Item,4907.48
687,3320,13,Damaged,444.29
688,3327,87,Wrong Item,5614.23
689,3327,212,Damaged,2462.04
690,3338,272,No Longer Needed,391.06
691,3338,253,Wrong Item,2114.62
692,3339,116,Wrong Item,2251.02
693,3351,462,Damaged,90.36
694,3351,57,No Longer Needed,1422
695,3351,124,Wrong Item,714.18
696,3361,65,Damaged,283.78
697,3369,488,No Longer Needed,2849.86
698,3376,37,Damaged,328.31
699,3386,176,Wrong Item,1215.42
700,3400,167,Damaged,734.61
701,3405,143,Damaged,2153.91
702,3428,52,Wrong Item,1749.56
703,3428,295,Damaged,5376.2
704,3431,26,Damaged,526.8
705,3460,273,No Longer Needed,5045.72
706,3461,239,Damaged,369
707,3461,257,Wrong Item,2223.91
708,3461,74,Wrong Item,132.18
709,3468,359,Damaged,431.54
710,3468,201,Damaged,1382.48
711,3468,401,Damaged,948.65
712,3469,485,No Longer Needed,1797.53
713,3469,476,Wrong Item,672.88
714,3478,199,No Longer Needed,810.58
715,3482,1,Wrong Item,1133.98
716,3482,319,Damaged,1310.21
717,3487,29,No Longer Needed,2231.67
718,3494,359,Wrong Item,287.69
719,3497,65,No Longer Needed,157.66
720,3499,444,Wrong Item,2507.94
721,3499,166,Damaged,763.31
722,3509,243,Wrong Item,1607.03
723,3511,412,Damaged,1211.75
724,3520,414,No Longer Needed,4392.27
725,3520,384,Damaged,3689.45
726,3522,42,Damaged,1457.94
727,3528,163,No Longer Needed,935.7
728,3529,335,Damaged,1557.45
729,3541,419,Damaged,1083.42
730,3543,140,Damaged,2546.51
731,3552,302,Wrong Item,5702.36
732,3564,73,No Longer Needed,946.45
733,3578,110,No Longer Needed,577.41
734,3578,227,Damaged,3684.82
735,3587,214,Damaged,435.01
736,3587,473,No Longer Needed,2827.63
737,3587,13,Damaged,522.7
738,3607,113,Wrong Item,1781.97
739,3607,248,Damaged,2216.94
740,3617,251,Damaged,123.92
741,3620,327,Wrong Item,4216.28
742,3625,229,No Longer Needed,660.95
743,3635,198,No Longer Needed,2107.27
744,3635,320,Wrong Item,1054.72
745,3635,67,Damaged,2708.61
746,3642,495,Damaged,1052.99
747,3644,468,No Longer Needed,2087.5
748,3652,348,Wrong Item,1711.66
749,3654,239,Damaged,390.71
750,3668,327,No Longer Needed,2687.87
751,3689,249,Damaged,1900.11
752,3693,279,Wrong Item,1584.34
753,3711,227,No Longer Needed,5202.1
754,3714,194,Damaged,2091.18
755,3714,486,Wrong Item,429.6
756,3720,396,Damaged,1512.41
757,3731,140,Wrong Item,4020.81
758,3736,143,Damaged,2393.24
759,3740,283,Wrong Item,186.59
760,3741,414,Wrong Item,4161.1
761,3741,189,No Longer Needed,562.72
762,3743,132,Damaged,708.58
763,3750,423,Wrong Item,4843.77
764,3750,399,Damaged,184.66
765,3767,385,Wrong Item,2645.98
766,3767,494,No Longer Needed,5983.16
767,3772,183,Wrong Item,52.32
768,3787,458,Wrong Item,1749.56
769,3787,459,Damaged,2533.97
770,3787,2,Wrong Item,378.18
771,3788,159,Damaged,670.65
772,3798,430,Damaged,1230.52
773,3821,224,Damaged,1425.08
